user,product,images,content,score,total,like,dislike
김서*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],보랏빛이 사아아아ㅏㅇ아아아알짝 아주 사알짝 도는 말린장미 색이에요! 웜톤이라 보랏빛이 잘 안어울리는데 옅게 바르면 그렇게 도드라지지 않아서 잘 쓸 수 있을 것 같아요!, 아주 좋아요,0,0,0
임지*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/89/09/image1/thumbnail_a41ec421ea6e2ef2.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/89/09/image1/thumbnail_a41ec421ea6e2ef2.jpg']",미쳤음 그냥 사셈;, 아주 좋아요,0,0,0
구예*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/83/image1/thumbnail_86cea59eccab4f35.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/83/image1/thumbnail_86cea59eccab4f35.jpg']",가장 위에있는 색상인데 연한 로즈 mlbb 톤에 모브빛 한방울 떨어뜨린 느낌이라 너무 흰끼돌지 않고 베이스로도 단독으로도 매력적인 색상이에요!, 아주 좋아요,0,0,0
심정*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image1/thumbnail_18c1fd6838d8c124.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image2/thumbnail_5dfe0d3af10b1d27.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image1/thumbnail_18c1fd6838d8c124.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image2/thumbnail_5dfe0d3af10b1d27.jpg']",일단 케이스가 너무 예뻐요ㅠㅠ 로고도 하단부분에 깔끔하게 박혀있고차분한 핑크색에 매트하되 건조하지 않아서 좋은 것 같아요 향은 초콜렛향이 나서 바르기에 무난하고 좋습니다!!, 아주 좋아요,0,0,0
홍민*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],색상보고 반해서 구매했어욤얼루어도 예쁜데 이건 더예뻐요ㅜㅜ입술에 잘발리고 색 진짜 너무 예쁘네요배송도 엄청 빨랐어요~다음번엔 다른 색상도 구매해볼게욤^^, 아주 좋아요,0,0,0
김서*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],보랏빛이 사아아아ㅏㅇ아아아알짝 아주 사알짝 도는 말린장미 색이에요! 웜톤이라 보랏빛이 잘 안어울리는데 옅게 바르면 그렇게 도드라지지 않아서 잘 쓸 수 있을 것 같아요!, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 오운 스킨,[],색상이 이뻐요 제스타일은 아니지만(2020-08-12 21:22:32 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 오운 스킨,[],만족선물 받아서 쓴 브랜드인데 너무 잘 써서 이번에 다른걸로 구매해봤어요. 색은 만족스럽네요ㅎㅎ(2020-08-08 07:38:51 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 오운 스킨,[],만족베이스로 바르기 좋아요.(2020-08-07 17:13:59 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
하승*,무드인핸서 리퀴드 마뜨 오운 스킨,[],매트 하지만 발색이 정말 이쁘게 올라와요,- 아주 좋아요,0,0,0
